epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,18214.8,0.42307,0.51844,0.97163,0.73255,0.79121,0.7054,0.55426,0.99305,1.19798,1.44946,0.000243067,0.000243067,0.000243067
150,18336,0.45142,0.55668,1.00272,0.66917,0.82184,0.71531,0.56179,0.97702,1.18203,1.42789,0.000238567,0.000238567,0.000238567
151,18459.4,0.43222,0.55661,0.97551,0.74111,0.6406,0.72437,0.56864,0.94708,1.19306,1.38702,0.000234068,0.000234068,0.000234068
152,18582.9,0.4515,0.58165,0.98459,0.76234,0.62834,0.71113,0.54265,0.97918,1.20586,1.41811,0.000229568,0.000229568,0.000229568
153,18706.5,0.4276,0.5435,0.96822,0.65644,0.81466,0.72778,0.55994,0.95919,1.14842,1.42104,0.000225068,0.000225068,0.000225068
154,18827.3,0.43251,0.56753,0.97161,0.66038,0.83662,0.73021,0.5664,0.97364,1.13225,1.45333,0.000220569,0.000220569,0.000220569
155,18950.1,0.42656,0.54054,0.97218,0.6702,0.81604,0.72272,0.56363,1.00649,1.15534,1.48304,0.000216069,0.000216069,0.000216069
156,19075.7,0.42815,0.5416,0.98092,0.66208,0.81796,0.72626,0.56392,1.00341,1.16523,1.47421,0.00021157,0.00021157,0.00021157
157,19198.5,0.4413,0.54149,0.97382,0.68838,0.78534,0.72606,0.56246,1.0072,1.16714,1.47032,0.00020707,0.00020707,0.00020707
158,19319.6,0.43841,0.56566,0.99229,0.68885,0.78935,0.71599,0.56163,0.99918,1.16035,1.45653,0.000202571,0.000202571,0.000202571
159,19442.8,0.42223,0.54723,0.9876,0.73617,0.80831,0.7287,0.57615,1.00574,1.11231,1.49948,0.000198071,0.000198071,0.000198071
160,19567.8,0.43109,0.53764,0.98268,0.76126,0.78041,0.7381,0.58476,0.99303,1.10209,1.49247,0.000193572,0.000193572,0.000193572
161,19690.3,0.42331,0.50614,0.96927,0.82543,0.78958,0.73658,0.57727,1.00048,1.12788,1.48761,0.000189072,0.000189072,0.000189072
162,19810.9,0.41409,0.55679,0.97222,0.78961,0.78114,0.74051,0.58488,0.99811,1.13874,1.49177,0.000184572,0.000184572,0.000184572
163,19932.4,0.42041,0.53135,0.9727,0.75422,0.80042,0.72692,0.56839,0.97771,1.13977,1.49589,0.000180073,0.000180073,0.000180073
164,20054.7,0.42095,0.53861,0.97298,0.71006,0.80042,0.72337,0.568,0.98363,1.12429,1.49662,0.000175573,0.000175573,0.000175573
165,20175.4,0.43594,0.54969,0.98662,0.74376,0.73993,0.71993,0.56011,0.98046,1.17299,1.47675,0.000171074,0.000171074,0.000171074
166,20295.5,0.40957,0.50772,0.97108,0.7466,0.7592,0.72405,0.56042,0.93378,1.16506,1.44373,0.000166574,0.000166574,0.000166574
167,20415.6,0.40337,0.51469,0.96681,0.71987,0.74896,0.72476,0.56466,0.93441,1.16896,1.44438,0.000162075,0.000162075,0.000162075
168,20536.3,0.41096,0.50651,0.97083,0.67736,0.79046,0.72549,0.56031,0.94995,1.16058,1.45114,0.000157575,0.000157575,0.000157575
169,20656.6,0.41021,0.51027,0.96576,0.65509,0.79734,0.67754,0.52093,0.96243,1.14394,1.46062,0.000153076,0.000153076,0.000153076
170,20777.1,0.42744,0.52664,0.97326,0.65583,0.76772,0.67945,0.52679,0.96112,1.14707,1.46118,0.000148576,0.000148576,0.000148576
171,20899.3,0.40817,0.49111,0.95024,0.72743,0.65063,0.72676,0.57234,0.96135,1.1051,1.46692,0.000144077,0.000144077,0.000144077
172,21019.7,0.42695,0.53016,0.98977,0.74987,0.65844,0.73365,0.5759,0.96513,1.09351,1.46667,0.000139577,0.000139577,0.000139577
173,21141.4,0.4183,0.51611,0.97846,0.71416,0.78732,0.73504,0.5687,0.94593,1.07247,1.44507,0.000135077,0.000135077,0.000135077
174,21264.6,0.41708,0.49542,0.97064,0.71726,0.81004,0.73495,0.57082,0.93639,1.07289,1.42873,0.000130578,0.000130578,0.000130578
175,21388.1,0.41061,0.51135,0.97585,0.72699,0.7237,0.73186,0.57133,0.95076,1.08531,1.44866,0.000126078,0.000126078,0.000126078
176,21509.3,0.41175,0.49795,0.97658,0.75593,0.69876,0.73563,0.57572,0.96056,1.09151,1.45027,0.000121579,0.000121579,0.000121579
177,21634.4,0.41991,0.49068,0.9795,0.75128,0.6986,0.74143,0.5781,0.96049,1.07918,1.45054,0.000117079,0.000117079,0.000117079
178,21758.9,0.39508,0.50253,0.96893,0.70207,0.73927,0.74085,0.57849,0.95932,1.07334,1.45169,0.00011258,0.00011258,0.00011258
179,21882.2,0.405,0.49838,0.95415,0.75831,0.65653,0.73909,0.58047,0.94271,1.06155,1.43296,0.00010808,0.00010808,0.00010808
